evolution$generation,cost_bridge1,cost_bridge2,cost_bridge3,cost_bridge4,proba_recover,proba_infection,infection_distance,max_infection_ratio,max_size,evolution$samples
5415,67.97619490094029,75.04842915277027,87.76234922819984,33.09059058879914,0.01,0.32450487071561573,24.790691658379043,0.642,59.0,1
5415,100.0,38.04723161669151,1.0,100.0,0.01,0.2709860735559117,15.148407564828977,0.588,87.0,1
5415,96.34286438722184,76.52541274753932,50.05045028921378,94.24324982300924,0.01,0.01,39.70358806736315,0.584,188.0,1
5415,61.70448337980756,81.05574746581632,2.8797209029954844,71.03795620696789,0.01,0.6379467609365506,39.6446339719406,0.376,27.0,1
5415,100.0,69.82156232161837,61.21335714897005,31.59737624236851,0.01,1.0,21.204605390256873,0.754,86.0,1
5415,76.54858108790968,68.7757762981632,85.45408223275925,15.898815306311901,0.01,0.01,42.62329694286363,0.434,151.0,1
5415,91.60721134026815,55.70408171397438,99.56940937514779,17.96960270646032,0.01012027325417956,0.3384173919548447,23.50906871686256,0.484,64.0,1
5415,78.78851803220795,29.133226062792808,37.43589064055675,100.0,0.010000017963714313,0.03928475108147015,27.563559325128264,0.084,20.0,1
5415,31.154221286371886,48.79680603798625,100.0,83.33214164760925,0.01,0.01,35.51220901099089,0.486,118.0,1
5415,99.94667476904598,82.60470782734933,39.54952537550894,34.795887753588616,0.01,0.426039496850181,74.01646755090819,0.79,25.0,1
5415,48.097371972139285,26.701690791177285,64.06723532256086,85.96389969575124,0.01,0.685689671247111,59.085118820685146,0.708,21.0,1
5415,95.34765631933071,75.99290231187311,99.22175856164328,100.0,0.01,0.4745471218140489,28.29498322303499,0.544,46.0,1
5415,67.15895032268345,23.264683272069675,5.12670082618799,87.61797241557211,0.01,0.01,22.518266279779237,0.506,191.0,1
5415,100.0,28.80030432640459,63.44825301144217,58.1012024601561,0.01,0.01,27.748002512195203,0.47,120.0,1
5415,29.58910561895464,26.19204586700547,100.0,91.64325739009156,0.01,0.9143186323521562,10.099235482562865,0.768,110.0,1
5415,80.9839529051268,84.88004678021119,17.709642379659808,41.41403553853863,0.010158101907362094,0.01,23.8458975797104,0.464,175.0,1
